<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;60;04/01/19;140000;1138.3000000;1138.3000000;1129.5000000;1131.0000000;25980
NVTK;60;04/01/19;150000;1130.7000000;1131.5000000;1127.2000000;1127.5000000;22800
NVTK;60;04/01/19;160000;1129.0000000;1131.0000000;1127.0000000;1130.9000000;17890
NVTK;60;04/01/19;170000;1130.1000000;1133.9000000;1128.2000000;1131.8000000;32450
NVTK;60;04/01/19;180000;1131.9000000;1137.8000000;1130.4000000;1135.5000000;55360
NVTK;60;04/01/19;190000;1136.0000000;1139.2000000;1135.2000000;1138.8000000;49860
NVTK;60;08/01/19;110000;1138.9000000;1138.9000000;1122.0000000;1123.0000000;87940
NVTK;60;08/01/19;120000;1122.9000000;1125.6000000;1120.6000000;1123.3000000;50440
NVTK;60;08/01/19;130000;1122.7000000;1126.6000000;1120.8000000;1120.9000000;30770
NVTK;60;08/01/19;140000;1121.0000000;1123.9000000;1121.0000000;1123.8000000;19620
NVTK;60;08/01/19;150000;1124.0000000;1124.0000000;1119.0000000;1119.3000000;36640
NVTK;60;08/01/19;160000;1119.8000000;1123.1000000;1118.7000000;1120.2000000;29620
NVTK;60;08/01/19;170000;1120.8000000;1123.5000000;1119.0000000;1122.1000000;24150
NVTK;60;08/01/19;180000;1122.1000000;1123.3000000;1117.3000000;1118.2000000;76220
NVTK;60;08/01/19;190000;1118.3000000;1122.9000000;1117.1000000;1118.2000000;110590
